STATE,ENTRSIZE,FIRM,ESTB,EMPL,PAYR,RCPT,Year
0,19,910,911,1825,79454,637324.0,2012
0,20,1,1,0,0,0.0,2012
0,1,42,42,93,4209,32803.0,2012
0,2,37,37,0,1205,10551.0,2012
0,3,4,4,0,0,0.0,2012
0,6,41,41,59,2594,20264.0,2012
0,10,1,1,0,0,0.0,2012
0,19,42,42,93,4209,32803.0,2012
0,1,302,302,1652,49301,170026.0,2012
0,2,216,216,271,8106,45019.0,2012
0,3,51,51,332,9722,34619.0,2012
0,4,10,10,108,2699,9361.0,2012
0,5,10,10,174,4354,15387.0,2012
0,6,287,287,885,24881,104386.0,2012
0,7,2,2,0,0,0.0,2012
0,8,3,3,76,1602,4087.0,2012
0,9,3,3,94,2087,6633.0,2012
0,10,2,2,0,0,0.0,2012
0,11,1,1,0,0,0.0,2012
0,15,2,2,0,0,0.0,2012
0,16,1,1,0,0,0.0,2012
0,17,1,1,0,0,0.0,2012
0,19,302,302,1652,49301,170026.0,2012
0,1,302,302,1652,49301,170026.0,2012
0,2,216,216,271,8106,45019.0,2012
0,3,51,51,332,9722,34619.0,2012
0,4,10,10,108,2699,9361.0,2012
0,5,10,10,174,4354,15387.0,2012
0,6,287,287,885,24881,104386.0,2012
0,7,2,2,0,0,0.0,2012
0,8,3,3,76,1602,4087.0,2012
0,9,3,3,94,2087,6633.0,2012
0,10,2,2,0,0,0.0,2012
0,11,1,1,0,0,0.0,2012
0,15,2,2,0,0,0.0,2012
0,16,1,1,0,0,0.0,2012
0,17,1,1,0,0,0.0,2012
0,19,302,302,1652,49301,170026.0,2012
0,1,302,302,1652,49301,170026.0,2012
0,2,216,216,271,8106,45019.0,2012
0,3,51,51,332,9722,34619.0,2012
0,4,10,10,108,2699,9361.0,2012
0,5,10,10,174,4354,15387.0,2012
0,6,287,287,885,24881,104386.0,2012
0,7,2,2,0,0,0.0,2012
0,8,3,3,76,1602,4087.0,2012
0,9,3,3,94,2087,6633.0,2012
0,10,2,2,0,0,0.0,2012
0,11,1,1,0,0,0.0,2012
0,15,2,2,0,0,0.0,2012
0,16,1,1,0,0,0.0,2012
0,17,1,1,0,0,0.0,2012
0,19,302,302,1652,49301,170026.0,2012
0,1,10285,10829,99795,3398783,17853467.0,2012
0,2,7432,7434,11094,439861,2967645.0,2012
0,3,1370,1374,8834,319511,1875239.0,2012
0,4,439,441,5047,182327,1042318.0,2012
0,5,197,202,3268,125152,621509.0,2012
0,6,9438,9451,28243,1066851,6506711.0,2012
0,7,132,143,2739,111087,530690.0,2012
